domain,capability_key,label,core_question,status
# ── ① 增长与收入：钱怎么进来 ──────────────────────────────
增长收入,acquisition_efficiency,获客投放效率诊断,付费获客是否健康、卡在素材点击/承接转化/单位经济哪一环,DONE
增长收入,private_traffic,私域复购诊断,私域流量池的承接/留存/复购/价值是否健康,DONE
增长收入,channel_expansion,渠道招商与单元经济诊断,加盟/经销扩张是否可复制、单店或单商盈利模型是否成立,DONE
增长收入,pricing_power,定价与利润诊断,定价是否偏离价值与竞争、有无提价空间或正在价格战失血,P1
增长收入,retention_churn,留存流失诊断,客户为什么流失、留存曲线卡在哪一段（私域复购归 private_traffic，这里聚焦全盘留存与流失结构）,P1
增长收入,customer_success,客户成功与续费诊断,B2B/SaaS 续费率与净留存是否健康、扩张或流失发生在哪类客户,P2
增长收入,brand_reputation,品牌与口碑诊断,公域口碑/评价/舆情是否在侵蚀转化与复购,P2
# ── ② 产品与交付：东西怎么做出来、交付出去 ────────────────
产品交付,inventory_turnover,库存与履约诊断,库存周转与履约效率是否压垮现金和体验,P2
产品交付,delivery_quality,交付质量与客诉诊断,交付延期/返工/客诉是否在侵蚀复购与口碑（服务/项目制/制造场景）,P3
# ── ③ 财务与现金：钱够不够、安不安全 ──────────────────────
财务现金,cash_runway,现金流与回款诊断,现金能撑多久、回款与账期是否在恶化（命脉级，优先于一般财务）,P1
财务现金,cost_structure,成本结构与降本诊断,成本结构是否失衡、降本空间在哪、是否误伤增长（与 finance 核心区分，聚焦成本拆解）,P3
# ── ④ 组织与人：团队 ─────────────────────────────────────
组织人,talent_efficiency,人效与组织诊断,人均产值是否健康、组织结构是否拖累增长（org 核心的量化深化）,P2
组织人,founder_dependency,老板依赖度与放权诊断,业务是否过度依赖老板个人、关键岗位与梯队是否断层,P3
# ── ⑤ 风险与合规：已由 legal_compliance/tax/policy/ip/supply_chain/data_systems 覆盖，暂无新增能力缺口 ──
# ── ⑥ 战略与方向：该往哪走（AI CEO 高度，当前最大空白）──────
战略方向,growth_bottleneck,增长瓶颈定位（元诊断）,跨所有领域找出真正的约束卡在哪一环、老板该先动哪里（把单点诊断升维成决策排序）,P1
战略方向,business_model,商业模式健康度诊断,单位经济是否闭环、增长飞轮与赚钱逻辑是否成立,P2
战略方向,second_curve,第二曲线与新业务诊断,现有业务天花板在哪、新业务机会是否值得下注（偏早期，需求验证后再造）,P3
